name,gender,culture,born,died,titles,aliases,playedBy,tvSeries
Qarlton Chelsted,Male,"","","In 283 AC, at King's Landing","Lord, Master of Coin, Hand of the King",The mace-and-dagger Hand,"",""
Qhorin,Male,"","","In 299 AC, at Skirling Pass","",Qhorin Halfhand,Simon Armstrong,Season 2
Qhorwyn Hoare,Male,"","","",King of the Iron Islands,Qhorwyn the Cunning,"",""
Qorgyle,Male,"","","In 288 AC, at Castle Black",Lord Commander of the Night's Watch,"","",""
Quellon Botley,Male,Ironborn,"","","","","",""
Quellon Greyjoy,Male,Ironborn,"","In 283 AC, at the mouth of the Mander","Lord of the Iron Islands, Lord Reaper of Pyke","","",""
Quenten Banefort,Male,"","","",Lord of Banefort,"","",""
Quentin Tyrell,Male,"","",At Ashford,Ser,"","",""
Quenton Greyjoy,Male,Ironborn,"","","","","",""
Quenton Hightower,Male,"","",At Oldtown,"Lord of the Hightower, Lord of the Port, Voice of Oldtown, Defender of the Citadel, Beacon of the South","","",""
Quenton Qoherys,Male,"","","","Lord of Harrenhal, Master-at-arms of Dragonstone","","",""
Quentyn Ball,Male,"","",At Near Redgrass Field,Ser,Fireball,"",""
Quentyn Blackwood,Male,"","","In 205 AC, at King's Landing",Lord,"","",""
Quentyn Martell,Male,Dornish,"In 281 AC, at Sunspear, Dorne","In 300 AC, at Meereen",Prince,"Frog, Prince Frog, The prince who came too late, The Dragonrider","",""
Quentyn Qorgyle,Male,"","","",Lord of Sandstone,"","",""
Ralf Kenning,Male,Ironborn,"","In 300 AC, at Moat Cailin","Castellan, Commander","","",""
Ralf Stonehouse,Male,Ironborn,"","",Captain of Red Jester,Red Ralf Stonehouse,"",""
Ralph Buckler,Male,"","","",Lord,"","",""
Ramsay Snow,Male,Northmen,In 282 AC or before,"","Lord of the Hornwood, Lord of Winterfell, Castellan of the Dreadfort","Ramsay Bolton, The Bastard of Bolton, The Bastard of the Dreadfort, Reek, Red Helm, Monster",Iwan Rheon,"Season 3, Season 4, Season 5, Season 6"
Randyll Tarly,Male,"","","","Lord of Horn Hill, Justiciar, Master of laws","",James Faulkner,Season 6
Ravella Swann,Female,"","","",Lady of Acorn Hall,"","",""
Raymun Darry,Male,"","","In 298 AC, at Mummer's Ford",Lord of Darry,"","",""
Raymun Fossoway,Male,"","","",Ser,"","",""
Raymund Frey,Male,"",In 264 AC,"",Ser,"","",""
Raymund Tyrell,Male,"","","","","","",""
Raynald Westerling,Male,"",At Crag,"In 299 AC (supposedly), at the Twins",Ser,"","",""
Raynard Ruttiger,Male,"","","",Ser,"","",""
Red Alyn,Male,"",At the Rosewood,"In 300 AC, at Castle Black","",Red Alyn of the Rosewood,"",""
Redwyn,Male,"","","","","","",""
Regenard Estren,Male,"","","",Lord of Wyndhall,"","",""
Renfred Rykker,Male,"","","",Lord of Duskendale,"","",""
Renly Baratheon,Male,Stormlands,In 277 AC,"In 299 AC, at Storm's End","Lord Paramount of the Stormlands, Lord of Storm's End, Master of laws, Lord of the Seven Kingdoms (claimant)","The King in Highgarden, The King in the South",Gethin Anthony,"Season 1, Season 2"
Renly Norcross,Male,"",In 296 AC or 297 AC,"","","","",""
Reynard Webber,Male,"","","",Lord of Coldmoat,"","",""
Rhae Targaryen,Female,Valyrian,In or between 201 AC and 209 AC,"",Princess,"","",""
Rhaegar Frey,Male,"",In or between 269 AC and 273 AC,In 300 AC (suspected),"","","",""
Rhaegar Targaryen,Male,Valyrian,"In 259 AC, at Summerhall","In 283 AC, at the Trident","Prince of Dragonstone, Ser","Silver Prince, The Dragon Prince, The Last Dragon","",""
Rhaegel Targaryen,Male,Valyrian,In or between 173 AC and 177 AC,In 215 AC,Prince of Dragonstone,"","",""
Rhaella Targaryen,Female,Valyrian,"In 245 AC or 246 AC, at King's Landing","In 284 AC, at Dragonstone","Princess, Queen, Dowager Queen","","",""
Rhaelle Targaryen,Female,"",In or between 229 AC and 233 AC,"",Princess,"","",""
Rhaena Targaryen,Female,"","In 116 AC, at Pentos","",Lady,Rhaena of Pentos,"",""
Rhaena Targaryen,Female,Valyrian,In 147 AC,"","Princess, Septa","","",""
Rhaena Targaryen,Female,Valyrian,In 23 AC,"","Princess, Queen",Black Bride,"",""
Rhaenyra Targaryen,Female,Valyrian,In 97 AC,"In 130 AC, at Dragonstone","Princess of Dragonstone, Lady of the Seven Kingdoms (claimant)","The Realm's Delight, The Whore of Dragonstone, King Maegor with Teats, Maegor's Teats, The Half-Year Queen","",""
Rhaenys Targaryen,Female,Valyrian,In 74 AC,"In 129 AC, at Rook's Rest",Princess,The Queen Who Never Was,"",""
Rhaenys Targaryen,Female,"","In 280 AC, at Dragonstone","In 283 AC, at King's Landing",Princess,"","",""
Rhea Florent,Female,"","","","","","",""
Rhea Royce,Female,"","","In 115 AC, at The Vale",Lady of Runestone,Bronze Bitch,"",""
Rhialta Vance,Female,"","","","","","",""
Rhonda Rowan,Female,"","","","","","",""
Richard Horpe,Male,"","","",Ser,The Slayer,"",""
Richard Lonmouth,Male,"","","",Ser,The Knight of Skull and Kisses,"",""
Richard Morrigen,Male,"","","",Ser,"","",""
Rickard Karstark,Male,Northmen,At Karhold,"In 299 AC, at Riverrun (executed)",Lord of Karhold,"","Steven Blount, John Stahl","Season 1, Season 2, Season 3"
Rickard Ryswell,Male,Northmen,"","","","","",""
Rickard Stark,Male,Northmen,"","",King in the North,The Laughing Wolf,"",""
Rickard Stark,Male,Northmen,"In or between 230 AC and 249 AC, at Winterfell","In 282 AC, at King's Landing","Lord of Winterfell, Warden of the North","",Wayne Foskett,Season 6
Rickard Thorne,Male,"","","In 130 AC, at Bitterbridge",Ser,"","",""
Rickard Tyrell,Male,"","","","","","",""
Rickard Wylde,Male,"",In 295 AC,"","","","",""
Rickon Stark,Male,Northmen,"In 295 AC, at Winterfell","","Prince of Winterfell, Heir to Winterfell","",Art Parkinson,"Season 1, Season 2, Season 3, Season 4"
Robar Royce,Male,Valemen,"In 277 AC (roughly), at Runestone","In 299 AC, at Near Storm's End",Ser,Robar the Red,"",""
Robb Reyne,Male,"","","",Ser,"","",""
Robert Arryn,Male,Valemen,In 292 AC,"","Lord of the Eyrie, Defender of the Vale, Warden of the East","Sweetrobin, True Warden of the East",Lino Facioli,"Season 1, Season 4, Season 5"
Robert Ashford,Male,Reach,At Ashford,"",Ser,"","",""
Robert Brax,Male,"","","In 299 AC, at Riverlands",Ser,"","",""
Robert Brax,Male,"",In 290 AC,"","","","",""
Robert Flowers,Male,"","","","Ser, Lord Commander of the Kingsguard",Red Robert Flowers,"",""
Robert Frey,Male,"",In 286 AC,"","","","",""
Robert Frey,Male,"",In 283 AC,"","","","",""
Robert I Baratheon,Male,"","262 AC, at Storm's End","298 AC, at King's Landing","King of the Andals, the Rhoynar and the First Men, Lord of the Seven Kingdoms, Protector of the Realm, Ser","The Usurper, Demon of the Trident, The Whoremonger King",Mark Addy,Season 1
Robert Paege,Male,"","","",Ser,"","",""
Robett Glover,Male,Northmen,At Deepwood Motte,"","","",Tim McInnerny,Season 6
Robin Greyjoy,Male,Ironborn,"",At Pyke,"","","",""
Robin Hill,Male,"","","",Lord Commander of the Night's Watch,"","",""
Robin Hollard,Male,"","","","","","",""
Robin Moreland,Male,"","","",Lord,"","",""
Robin Peasebury,Male,"","","",Lord of Poddingfield,Lord Pea Pord,"",""
Robin Ryger,Male,"",In or between 237 AC and 240 AC (roughly),"","Ser, Captain of the guards at Riverrun","","",""
Robyn Rhysling,Male,"","","",Ser,"","",""
Robyn Ryswell,Male,Northmen,"","","","","",""
Rodrik Cassel,Male,Northmen,"","In 299 AC, at Winterfell","Ser, Master-at-arms of Winterfell, Castellan of Winterfell",Old Ser Rodrik,Ron Donachie,"Season 1, Season 2"
Rodrik Greyjoy,Male,Ironborn,In 274 AC or before,"In 289 AC, at Seagard","","","",""
Walder,Male,"","","","",Hodor,Kristian Nairn,"Season 1, Season 2, Season 3, Season 4, Season 6"
Balon Greyjoy,Male,"","","299 AC, at Pyke","Iron King, King of the Isles and the North, King of Salt and Rock, Son of the Sea Wind, Lord Reaper of Pyke, The Greyjoy, Captain of the Great Kraken","Balon the Brave, Balon the Blessed, Balon the Twice Crowned, Balon the Widowmaker, The Kraken King",Patrick Malahide,"Season 2, Season 3, Season 6"
Chayle,Male,"","","In 299 AC, at Winterfell",Septon,"","",""
Gillam,Male,"","","",Brother,"","",""
